product_name,product_link,product_price,product_rating,no_rating,page_no
SBCOLLECTION Premium School College Office Laptop Daily Use Backpack for All Day Traveler,https://www.amazon.in/SBCOLLECTION-Premium-Backpack-Water-Resistance-Business/dp/B0BXL5B1J4/ref=sr_1_211?crid=2M096C61O4MLT&keywords=bags&qid=1685048361&sprefix=ba%2Caps%2C283&sr=8-211,229,3.3,13 ratings,13
MI Business Casual 21L Water Resistant Laptop Backpack,https://www.amazon.in/Mi-Business-Casual-Resistant-Backpack/dp/B07YY6PTMN/ref=sr_1_212?crid=2M096C61O4MLT&keywords=bags&qid=1685048361&sprefix=ba%2Caps%2C283&sr=8-212,999,4.4,"4,403 ratings",13
"Gods ZARC Black 22 Liter Anti Theft Backpack for 15.6 Inch Laptop with Dedicated Laptop Compartment, 180 Degree Opening, Quick-Access Pockets, Efficient Organizer, Water Resistant & 8 Year Warranty.",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTA2MDI3NjcwNjMzMDA3OjE2ODUwNDgzNjE6c3BfYnRmOjIwMTQyMjY0NTExNTk4OjowOjo&url=%2FGODS-Anti-Theft-Laptop-Backpack-Black%2Fdp%2FB07RFDC5FL%2Fref%3Dsr_1_213_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685048361%26sprefix%3Dba%252Caps%252C283%26sr%3D8-213-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"2,279.00",4.4,554 ratings,13
DAHSHA Stylish Nylon Sling Cross Body Travel Bag for Business Office Messenger One Side Shoulder Carry Handbag Bag For Men & Women (35X18x25 CM-grey),https://www.amazon.in/DAHSHA-Multipurpose-Travel-Duffel-13X7x11-inch/dp/B07GCLJTZF/ref=sr_1_211?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-211,694,3.9,392 ratings,14
Martucci Jersey 45L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,https://www.amazon.in/Martucci-Waterproof-Backpack-College-Business/dp/B0BRJTQR1K/ref=sr_1_212?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-212,809,3.7,47 ratings,14
Wildcraft 29.5 Ltrs Green Casual Backpack (11650-Green),https://www.amazon.in/Wildcraft-Green-Casual-Backpack-11650-Green/dp/B079DV66TY/ref=sr_1_214?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-214,999,4.1,355 ratings,14
"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sr_1_215?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-215,840,4.4,"2,993 ratings",14
Protecta The Professional Laptop Bag Briefcase for Laptops with Screen Size Up to 15.6 Inch (Black & Indian Geometric Print),https://www.amazon.in/Protecta-Professional-15-6-inch-Briefcase-Geometric/dp/B07GNCRCP4/ref=sr_1_217?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-217,669,4.4,"1,443 ratings",14
"URBAN TRIBE Havana Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF/ref=sr_1_218?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-218,999,3.9,755 ratings,14
POLICE Walt Laptop Backpack Business Office College Travel Bags for Men Fits Up to 15 inch Laptop Notebook - Black,https://www.amazon.in/POLICE-Stylish-Premium-Quality-Backpack/dp/B084Q4N84P/ref=sr_1_221?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-221,"1,689",4.1,647 ratings,14
